urls,precio,calle,altura,metros_totales,metros_cubiertos,ambientes,banios,dormitorios,cocheras
/propiedades/clasificado/veclappa-departamento-ultimo-piso-frente.-54319655.html,115000,Av-Vélez-Sarsfield,700.0,73.0,64.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-en-arturo-illia-al-600-54276006.html,200000,Arturo-Illia,600.0,0.0,0.0,0.0,3.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-1-ambiente-centro-resistencia-48275371.html,45000,Av-Las-Heras,700.0,38.0,38.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-venta-de-monoambiente-centrico-entre-rios-367-54694110.html,37000,Entre-Rios,367.0,29.0,25.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-en-mitre-al-700-54041571.html,120000,Mitre,700.0,80.0,80.0,0.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin--monoambiente-en-venta!-av-alvear-231-resistencia-54744867.html,50000,Avenida-Alvear,231.0,0.0,36.0,0.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-solar-belgrano-52314398.html,44000,Av-Belgrano,1475.0,49.0,39.0,2.0,3.0,1.0,0.0
/propiedades/clasificado/veclapin-departamento-en-zona-unne-54780341.html,52000,Evaristo-Ramirez,100.0,80.0,80.0,0.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-departamento-resistencia-53906193.html,95000,Av-Velez-Sarfield,700.0,68.0,68.0,4.0,1.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-monoambiente-amoblado-con-cochera-en-54544778.html,1000,Cordoba,800.0,42.0,30.0,1.0,1.0,0.0,1.0
/propiedades/clasificado/veclapin-venta-de-departamento-de-3-dorm.-con-cochera-garcia-54733916.html,75000,Garcia-Merou,235.0,0.0,1.0,2.0,2.0,3.0,1.0
